22/10/2025,"-5.59",SQ *HOMEBOY CO PTY LTD    Adelaide
22/10/2025,"-66.29",ALDI STORES               PROSPECT
22/10/2025,"-30.13",CINNAMON CLUB NORWOOD     NORWOOD
21/10/2025,"-24.89",UBER *EATS HELP.UBER.COM  Sydney
20/10/2025,"-19.00",OFFICEWORKS 0503          NAILSWORTH
20/10/2025,"-14.72",LS The Upside On Prosp    Prospect
20/10/2025,"-30.86",LS The Upside On Prosp    Prospect
20/10/2025,"-13.00",WILSON PARKING ADEOBS     ADELAIDE
20/10/2025,"-44.80",UNIQLO RUNDLE MALL        Adelaide
20/10/2025,"-10.00",JONNY'S DELIGHTS 3        Hindmarsh
20/10/2025,"-93.11",Unihealth                 Adelaide
20/10/2025,"-23.27",MUNOOSHI CAFE PTY. LTD    ADELAIDE
20/10/2025,"-30.88",ALDI STORES               PROSPECT
17/10/2025,"-14.50",ZAMBRERO SA PTY LTD       ADELAIDE
17/10/2025,"-5.59",SQ *HOMEBOY CO PTY LTD    Adelaide
17/10/2025,"-15.15",ALDI STORES               PROSPECT
17/10/2025,"-6.99",RUNDLE MALL FOODLAND      ADELAIDE
16/10/2025,"977.00",PAYMENT THANKYOU 622812
16/10/2025,"-5.59",SQ *HOMEBOY CO PTY LTD    Adelaide
16/10/2025,"-28.88",ALDI STORES               PROSPECT
15/10/2025,"-14.50",ZAMBRERO SA PTY LTD       ADELAIDE
15/10/2025,"-5.59",SQ *HOMEBOY CO PTY LTD    Adelaide
15/10/2025,"-26.91",LEBARA RECHARGE           NORTH SYDNEY
14/10/2025,"-5.02",SQ *CHAIOZ                North Adelaid
14/10/2025,"-4.55",ADELAIDE METRO TAP        ADELAIDE
13/10/2025,"-7.60",COLES 0471                PROSPECT
13/10/2025,"-11.20",COLES 0471                PROSPECT
13/10/2025,"-71.33",UBER *EATS HELP.UBER.COM  Sydney
13/10/2025,"-2.50",POST ADELAIDE UNIVERSI    ADELAIDE
13/10/2025,"-10.99",JB HI FI ADELAIDE CI      ADELAIDE
13/10/2025,"-8.85",SUBWAY RUNDLE PLACE       ADELAIDE
13/10/2025,"-15.05",SQ *ABANG ABANG           Adelaide
13/10/2025,"-12.60",SQ *HOMEBOY CO PTY LTD    Adelaide
13/10/2025,"-13.30",COLES 0471                PROSPECT
13/10/2025,"-11.00",STAR CHEMIST NORTHPARK    SEFTON PARK
13/10/2025,"-32.18",ALDI STORES               PROSPECT
10/10/2025,"-3.30",ALDI STORES               PROSPECT
10/10/2025,"-33.84",ALDI STORES               PROSPECT
09/10/2025,"-5.59",SQ *HOMEBOY CO PTY LTD    Adelaide
08/10/2025,"900.00",PAYMENT THANKYOU 398524
08/10/2025,"-5.51",ALDI STORES               PROSPECT
06/10/2025,"-268.50",SQ *LIVEFAST CAFE         Halls Gap
06/10/2025,"-6.00",MORPHETT VALE LAUNDRET    OSBORNE PARK
06/10/2025,"-4.05",BAKERY ON O'CONNELL-      NORTH ADELAID
06/10/2025,"-12.48",AFTERPAY                  AFTERPAY.COM
03/10/2025,"-11.04",SQ *BOTTEGA GELATERIA     Prospect
03/10/2025,"-62.01",CHATKAZZ LIGHTSVIEW       Lightsview
03/10/2025,"-8.00",WILSON PARKING ADEOBS     ADELAIDE
03/10/2025,"-6.99",RUNDLE MALL FOODLAND      ADELAIDE
02/10/2025,"-17.67",WOOLWORTHS/7 GRASSMERE RD PROSPECT
02/10/2025,"-23.01",ALDI STORES               PROSPECT
01/10/2025,"98.00",OFFICEWORKS 0503          NAILSWORTH
01/10/2025,"-5.68",SQ *CHAIOZ                North Adelaid
01/10/2025,"-10.00",ZAMBRERO SA PTY LTD       ADELAIDE
01/10/2025,"-34.84",ALDI STORES               PROSPECT
01/10/2025,"-241.93",SMP*MOONGARDEN PIZZA B0   12WILLUNGA
30/09/2025,"-98.00",OFFICEWORKS 0503          NAILSWORTH
29/09/2025,"-5.86",CHATKAZZ LIGHTSVIEW       Lightsview
29/09/2025,"-16.51",CHATKAZZ LIGHTSVIEW       Lightsview
29/09/2025,"-63.27",UNITED RICHMOND           RICHMOND
29/09/2025,"-14.57",BAKERY ON O'CONNELL-      NORTH ADELAID
29/09/2025,"-19.00",JB HI FI ADELAIDE CI      ADELAIDE
29/09/2025,"-71.66",CULINARY ESCAPADES PTY LT CAMPBELLTOWN
29/09/2025,"-10.00",ZAMBRERO SA PTY LTD       ADELAIDE
29/09/2025,"-23.69",ALDI STORES               PROSPECT
26/09/2025,"-5.68",SQ *CHAIOZ                North Adelaid
26/09/2025,"-29.59",COLES 4948                GREENACRES
26/09/2025,"-9.99",RUNDLE MALL FOODLAND      ADELAIDE
25/09/2025,"-35.00",RETAILORS OPS PTY LTD     ADELAIDE
25/09/2025,"-1.29",POST ADELAIDE UNIVERSI    ADELAIDE
24/09/2025,"-5.59",SQ *HOMEBOY CO PTY LTD    Adelaide
24/09/2025,"-60.60",LUCIA S PIZZA AND SP      ADELAIDE
24/09/2025,"-3.20",ASIAN GOURMET RST PL      ADELAIDE
24/09/2025,"-9.90",CHARLESWORTH NUTS PT      ADELAIDE
23/09/2025,"-134.29",COLES 0471                PROSPECT
23/09/2025,"-18.03",SQ *BOTTEGA GELATERIA     Prospect
23/09/2025,"-6.00",MORPHETT VALE LAUNDRET    OSBORNE PARK
23/09/2025,"-7.00",UPARK CITY OF ADL         ADELAIDE

